Cities
Glasgow,Glasgow City,Greater Glasgow & Clyde
Edinburgh,City of Edinburgh,Lothian
Aberdeen,Aberdeen City,Grampian
Dundee,Dundee City,Tayside
Paisley,Renfrewshire,Greater Glasgow & Clyde
East Kilbride,South Lanarkshire,Lanarkshire 
Livingston,West Lothian,Lothian
Hamilton,South Lanarkshire,Lanarkshire 
Dunfermline,Fife,Fife
Cumbernauld,North Lanarkshire,Lanarkshire
Kirkcaldy,Fife,Fife,Tayside
Perth,Perth and Kinross,Tayside
Inverness,Highland,Highland
Ayr,South Ayrshire,Greater Glasgow & Clyde
Kilmarnock,East Ayrshire,Greater Glasgow & Clyde
Coatbridge,North Lanarkshire,Lanarkshire
Greenock,Inverclyde,Greater Glasgow & Clyde
Glenrothes,Fife,Fife
Stirling,Stirling,Tayside
Airdrie,North Lanarkshire,Lanarkshire
Falkirk,Falkirk,Tayside
Irvine,North Ayrshire,Greater Glasgow & Clyde
Dumfries,Dumfries and Galloway,Borders
Motherwell,North Lanarkshire,Lanarkshire
Rutherglen,South Lanarkshire,Lanarkshire
Wishaw,North Lanarkshire,Lanarkshire
Cambuslang,South Lanarkshire,Lanarkshire
Bearsden,East Dunbartonshire,Lanarkshire
Newton Mearns,East Renfrewshire,Greater Glasgow & Clyde
Clydebank,West Dunbartonshire,Greater Glasgow & Clyde
Elgin,Moray,Grampian
Arbroath,Angus,Grampian
Bishopbriggs,East Dunbartonshire,Greater Glasgow & Clyde
Bathgate,West Lothian,Lothian
Renfrew,Renfrewshire,Greater Glasgow & Clyde
Kirkintilloch,East Dunbartonshire,Greater Glasgow & Clyde
Musselburgh,East Lothian,Lothian
Dumbarton,West Dunbartonshire,Greater Glasgow & Clyde
Bellshill,North Lanarkshire,Lanarkshire
Peterhead,Aberdeenshire,Grampian
Barrhead,East Renfrewshire,Greater Glasgow & Clyde
St Andrews,Fife,Fife
Bonnyrigg,Midlothian,Lothian
Blantyre,South Lanarkshire,Lanarkshire
Grangemouth,Falkirk,Tayside
Kilwinning,North Ayrshire,Greater Glasgow & Clyde
Penicuik,Midlothian,Lothian
Johnstone,Renfrewshire,Greater Glasgow & Clyde
Viewpark,North Lanarkshire,Lanarkshire
Erskine,Renfrewshire,Greater Glasgow & Clyde
Broxburn,West Lothian,Lothian
