yr,sex,FirstForename,number,rank,position
1974,B,David,1794,1,"    1"
1974,B,John,1528,2,"    2"
1974,B,Paul,1260,3,"    3"
1974,B,Mark,1234,4,"    4"
1974,B,James,1202,5,"    5"
1974,B,Andrew,1067,6,"    6"
1974,B,Scott,1060,7,"    7"
1974,B,Steven,1020,8,"    8"
1974,B,Robert,885,9,"    9"
1974,B,Stephen,866,10,"   10"
1974,B,William,777,11,"   11"
1974,B,Craig,749,12,"   12"
1974,B,Michael,735,13,"   13"
1974,B,Stuart,710,14,"   14"
1974,B,Christopher,702,15,"   15"
1974,B,Alan,685,16,"   16"
1974,B,Colin,634,17,"   17"
1974,B,Brian,623,18,"   18"
1974,B,Kevin,598,19,"   19"
1974,B,Gary,570,20,"   20"
1974,B,Richard,558,21,"   21"
1974,B,Derek,500,22,"   22"
1974,B,Martin,473,23,"   23"
1974,B,Thomas,458,24,"   24"
1974,B,Neil,446,25,"   25"
1974,B,Barry,427,26,"   26"
1974,B,Ian,421,27,"   27"
1974,B,Jason,389,28,"   28"
1974,B,Iain,386,29,"   29"
1974,B,Gordon,369,30,"   30"
1974,B,Alexander,359,31,"   31"
1974,B,Graeme,354,32,"   32"
1974,B,Peter,353,33,"   33"
1974,B,Darren,333,34,"   34"
1974,B,Graham,325,35,"   35"
1974,B,George,302,36,"   36="
1974,B,Kenneth,302,36,"   36="
1974,B,Allan,284,38,"   38"
1974,B,Simon,281,39,"   39"
1974,B,Douglas,225,40,"   40"
1974,B,Keith,223,41,"   41"
1974,B,Lee,209,42,"   42"
1974,B,Anthony,204,43,"   43"
1974,B,Grant,187,44,"   44="
1974,B,Ross,187,44,"   44="
1974,B,Jonathan,184,46,"   46"
1974,B,Gavin,179,47,"   47"
1974,B,Nicholas,173,48,"   48"
1974,B,Joseph,172,49,"   49"
1974,B,Stewart,171,50,"   50"
1974,B,Daniel,169,51,"   51"
1974,B,Edward,160,52,"   52"
1974,B,Matthew,151,53,"   53"
1974,B,Donald,146,54,"   54"
1974,B,Fraser,140,55,"   55"
1974,B,Garry,139,56,"   56"
1974,B,Malcolm,137,57,"   57"
1974,B,Charles,131,58,"   58"
1974,B,Duncan,130,59,"   59"
1974,B,Alistair,128,60,"   60"
1974,B,Raymond,120,61,"   61"
1974,B,Philip,112,62,"   62"
1974,B,Ronald,111,63,"   63"
1974,B,Ewan,98,64,"   64="
1974,B,Ryan,98,64,"   64="
1974,B,Francis,97,66,"   66"
1974,B,Bruce,96,67,"   67="
1974,B,Patrick,96,67,"   67="
1974,B,Alastair,94,69,"   69="
1974,B,Bryan,94,69,"   69="
1974,B,Marc,92,71,"   71"
1974,B,Jamie,88,72,"   72"
1974,B,Hugh,86,73,"   73"
1974,B,Euan,81,74,"   74="
1974,B,Gerard,81,74,"   74="
1974,B,Sean,77,76,"   76"
1974,B,Wayne,76,77,"   77"
1974,B,Adam,75,78,"   78="
1974,B,Calum,75,78,"   78="
1974,B,Alasdair,72,80,"   80"
1974,B,Robin,70,81,"   81"
1974,B,Greig,69,82,"   82"
1974,B,Angus,67,83,"   83"
1974,B,Russell,64,84,"   84"
1974,B,Cameron,58,85,"   85"
1974,B,Roderick,56,86,"   86"
1974,B,Norman,54,87,"   87"
1974,B,Murray,52,88,"   88"
1974,B,Gareth,50,89,"   89"
1974,B,Dean,49,90,"   90="
1974,B,Eric,49,90,"   90="
1974,B,Adrian,46,92,"   92="
1974,B,Gregor,46,92,"   92="
1974,B,Samuel,44,94,"   94"
1974,B,Gerald,42,95,"   95"
1974,B,Henry,39,96,"   96"
1974,B,Justin,38,97,"   97"
1974,B,Benjamin,37,98,"   98"
1974,B,Shaun,36,99,"   99"
1974,B,Callum,35,100,"  100="
1974,B,Campbell,35,100,"  100="
1974,B,Frank,35,100,"  100="
1974,B,Roy,35,100,"  100="
1974,B,Timothy,35,100,"  100="
1975,B,David,1793,1,"    1"
1975,B,John,1481,2,"    2"
1975,B,Paul,1207,3,"    3"
1975,B,James,1193,4,"    4"
1975,B,Mark,1132,5,"    5"
1975,B,Scott,1081,6,"    6"
1975,B,Andrew,1032,7,"    7"
1975,B,Steven,996,8,"    8"
1975,B,Robert,842,9,"    9"
1975,B,Stephen,746,10,"   10"
1975,B,Craig,740,11,"   11"
1975,B,Christopher,720,12,"   12"
1975,B,Alan,715,13,"   13"
1975,B,Michael,708,14,"   14"
1975,B,Stuart,707,15,"   15"
1975,B,William,685,16,"   16"
1975,B,Kevin,642,17,"   17"
1975,B,Colin,618,18,"   18"
1975,B,Brian,588,19,"   19"
1975,B,Derek,538,20,"   20"
1975,B,Neil,520,21,"   21"
1975,B,Richard,489,22,"   22"
1975,B,Gary,469,23,"   23"
1975,B,Barry,454,24,"   24"
1975,B,Martin,440,25,"   25"
1975,B,Thomas,436,26,"   26"
1975,B,Ian,428,27,"   27"
1975,B,Gordon,411,28,"   28"
1975,B,Kenneth,387,29,"   29"
1975,B,Alexander,370,30,"   30"
1975,B,Graeme,365,31,"   31="
1975,B,Peter,365,31,"   31="
1975,B,Iain,354,33,"   33"
1975,B,Graham,327,34,"   34"
1975,B,Jason,299,35,"   35"
1975,B,George,296,36,"   36"
1975,B,Allan,259,37,"   37"
1975,B,Keith,256,38,"   38"
1975,B,Darren,247,39,"   39"
1975,B,Simon,238,40,"   40"
1975,B,Douglas,218,41,"   41"
1975,B,Ross,214,42,"   42"
1975,B,Stewart,204,43,"   43"
1975,B,Lee,197,44,"   44"
1975,B,Grant,191,45,"   45"
1975,B,Nicholas,186,46,"   46"
1975,B,Joseph,184,47,"   47"
1975,B,Gavin,182,48,"   48"
1975,B,Anthony,181,49,"   49"
1975,B,Jonathan,171,50,"   50"
1975,B,Daniel,154,51,"   51"
1975,B,Fraser,147,52,"   52="
1975,B,Matthew,147,52,"   52="
1975,B,Donald,142,54,"   54"
1975,B,Malcolm,140,55,"   55"
1975,B,Alistair,139,56,"   56"
1975,B,Edward,135,57,"   57"
1975,B,Raymond,130,58,"   58"
1975,B,Charles,129,59,"   59"
1975,B,Philip,123,60,"   60"
1975,B,Bruce,118,61,"   61="
1975,B,Garry,118,61,"   61="
1975,B,Jamie,118,61,"   61="
1975,B,Ryan,114,64,"   64"
1975,B,Bryan,110,65,"   65"
1975,B,Francis,109,66,"   66"
1975,B,Alastair,102,67,"   67="
1975,B,Duncan,102,67,"   67="
1975,B,Patrick,98,69,"   69"
1975,B,Ronald,93,70,"   70"
1975,B,Alasdair,85,71,"   71"
1975,B,Ewan,80,72,"   72"
1975,B,Marc,75,73,"   73"
1975,B,Wayne,73,74,"   74"
1975,B,Hugh,72,75,"   75"
1975,B,Robin,70,76,"   76="
1975,B,Sean,70,76,"   76="
1975,B,Calum,68,78,"   78"
1975,B,Euan,66,79,"   79"
1975,B,Adam,63,80,"   80"
1975,B,Russell,62,81,"   81"
1975,B,Cameron,58,82,"   82="
1975,B,Gerard,58,82,"   82="
1975,B,Murray,58,82,"   82="
1975,B,Norman,58,82,"   82="
1975,B,Angus,56,86,"   86"
1975,B,Greig,55,87,"   87"
1975,B,Justin,51,88,"   88"
1975,B,Gregor,50,89,"   89"
1975,B,Gerald,48,90,"   90"
1975,B,Roderick,47,91,"   91="
1975,B,Roy,47,91,"   91="
1975,B,Benjamin,46,93,"   93"
1975,B,Timothy,44,94,"   94"
1975,B,Dean,42,95,"   95"
1975,B,Samuel,39,96,"   96"
1975,B,Greg,38,97,"   97="
1975,B,Shaun,38,97,"   97="
1975,B,Adrian,37,99,"   99="
1975,B,Campbell,37,99,"   99="
1976,B,David,1744,1,"    1"
1976,B,John,1374,2,"    2"
1976,B,Paul,1146,3,"    3"
1976,B,James,1136,4,"    4"
1976,B,Andrew,983,5,"    5"
1976,B,Steven,975,6,"    6"
1976,B,Scott,964,7,"    7"
1976,B,Mark,893,8,"    8"
1976,B,Robert,757,9,"    9"
1976,B,Stephen,732,10,"   10"
1976,B,Craig,720,11,"   11"
1976,B,Christopher,695,12,"   12"
1976,B,Stuart,693,13,"   13"
1976,B,Alan,689,14,"   14"
1976,B,William,647,15,"   15"
1976,B,Michael,645,16,"   16"
1976,B,Kevin,605,17,"   17"
1976,B,Colin,565,18,"   18"
1976,B,Brian,527,19,"   19"
1976,B,Derek,519,20,"   20"
1976,B,Neil,485,21,"   21"
1976,B,Richard,481,22,"   22"
1976,B,Martin,450,23,"   23"
1976,B,Gary,418,24,"   24"
1976,B,Ross,403,25,"   25"
1976,B,Thomas,377,26,"   26"
1976,B,Ian,376,27,"   27"
1976,B,Iain,373,28,"   28"
1976,B,Barry,363,29,"   29"
1976,B,Gordon,362,30,"   30"
1976,B,Graeme,348,31,"   31"
1976,B,Graham,341,32,"   32"
1976,B,Alexander,330,33,"   33"
1976,B,Peter,323,34,"   34"
1976,B,Kenneth,303,35,"   35"
1976,B,Simon,285,36,"   36"
1976,B,Allan,261,37,"   37="
1976,B,Darren,261,37,"   37="
1976,B,George,259,39,"   39"
1976,B,Douglas,245,40,"   40"
1976,B,Jason,223,41,"   41"
1976,B,Lee,221,42,"   42"
1976,B,Gavin,217,43,"   43"
1976,B,Anthony,207,44,"   44"
1976,B,Jonathan,191,45,"   45"
1976,B,Stewart,189,46,"   46"
1976,B,Jamie,177,47,"   47"
1976,B,Keith,174,48,"   48"
1976,B,Matthew,172,49,"   49"
1976,B,Joseph,164,50,"   50"
1976,B,Daniel,155,51,"   51"
1976,B,Edward,148,52,"   52"
1976,B,Nicholas,145,53,"   53"
1976,B,Grant,144,54,"   54"
1976,B,Ryan,142,55,"   55"
1976,B,Philip,140,56,"   56"
1976,B,Alistair,134,57,"   57"
1976,B,Donald,132,58,"   58"
1976,B,Charles,130,59,"   59"
1976,B,Duncan,122,60,"   60"
1976,B,Garry,120,61,"   61"
1976,B,Malcolm,119,62,"   62"
1976,B,Raymond,115,63,"   63"
1976,B,Bryan,105,64,"   64="
1976,B,Ewan,105,64,"   64="
1976,B,Fraser,98,66,"   66"
1976,B,Alastair,96,67,"   67="
1976,B,Euan,96,67,"   67="
1976,B,Patrick,94,69,"   69"
1976,B,Bruce,89,70,"   70"
1976,B,Ronald,86,71,"   71"
1976,B,Greig,81,72,"   72"
1976,B,Hugh,77,73,"   73"
1976,B,Francis,74,74,"   74="
1976,B,Gerard,74,74,"   74="
1976,B,Russell,73,76,"   76"
1976,B,Alasdair,72,77,"   77"
1976,B,Adam,68,78,"   78="
1976,B,Marc,68,78,"   78="
1976,B,Sean,68,78,"   78="
1976,B,Benjamin,67,81,"   81"
1976,B,Gregor,64,82,"   82"
1976,B,Calum,63,83,"   83"
1976,B,Wayne,60,84,"   84"
1976,B,Robin,59,85,"   85="
1976,B,Roderick,59,85,"   85="
1976,B,Murray,56,87,"   87"
1976,B,Greg,55,88,"   88"
1976,B,Angus,54,89,"   89"
1976,B,Cameron,53,90,"   90"
1976,B,Gerald,52,91,"   91"
1976,B,Shaun,51,92,"   92"
1976,B,Samuel,47,93,"   93"
1976,B,Timothy,45,94,"   94"
1976,B,Liam,44,95,"   95"
1976,B,Campbell,43,96,"   96"
1976,B,Gareth,41,97,"   97="
1976,B,Niall,41,97,"   97="
1976,B,Dean,40,99,"   99="
1976,B,Justin,40,99,"   99="
1977,B,David,1761,1,"    1"
1977,B,John,1258,2,"    2"
1977,B,Paul,1230,3,"    3"
1977,B,James,1068,4,"    4"
1977,B,Andrew,1042,5,"    5"
1977,B,Steven,884,6,"    6"
1977,B,Scott,816,7,"    7"
1977,B,Mark,775,8,"    8"
1977,B,Robert,757,9,"    9"
1977,B,Christopher,747,10,"   10"
1977,B,Craig,705,11,"   11"
1977,B,Stuart,683,12,"   12"
1977,B,Kevin,676,13,"   13"
1977,B,Alan,661,14,"   14"
1977,B,Michael,659,15,"   15"
1977,B,Stephen,633,16,"   16"
1977,B,William,597,17,"   17"
1977,B,Colin,495,18,"   18"
1977,B,Brian,477,19,"   19"
1977,B,Neil,463,20,"   20"
1977,B,Richard,451,21,"   21"
1977,B,Ross,433,22,"   22"
1977,B,Thomas,407,23,"   23"
1977,B,Gary,406,24,"   24"
1977,B,Derek,394,25,"   25"
1977,B,Iain,379,26,"   26"
1977,B,Gordon,364,27,"   27"
1977,B,Graeme,363,28,"   28"
1977,B,Martin,352,29,"   29"
1977,B,Barry,342,30,"   30"
1977,B,Gavin,329,31,"   31="
1977,B,Ian,329,31,"   31="
1977,B,Kenneth,327,33,"   33"
1977,B,Alexander,322,34,"   34"
1977,B,Peter,308,35,"   35"
1977,B,Graham,265,36,"   36"
1977,B,Allan,241,37,"   37"
1977,B,Darren,238,38,"   38"
1977,B,Jamie,223,39,"   39"
1977,B,Simon,212,40,"   40"
1977,B,Lee,207,41,"   41"
1977,B,George,199,42,"   42="
1977,B,Keith,199,42,"   42="
1977,B,Stewart,191,44,"   44"
1977,B,Douglas,186,45,"   45"
1977,B,Jonathan,175,46,"   46"
1977,B,Matthew,168,47,"   47"
1977,B,Daniel,160,48,"   48"
1977,B,Grant,158,49,"   49"
1977,B,Joseph,155,50,"   50"
1977,B,Jason,148,51,"   51"
1977,B,Anthony,147,52,"   52"
1977,B,Ryan,141,53,"   53"
1977,B,Edward,140,54,"   54"
1977,B,Fraser,135,55,"   55"
1977,B,Donald,127,56,"   56"
1977,B,Charles,123,57,"   57"
1977,B,Garry,122,58,"   58"
1977,B,Duncan,120,59,"   59"
1977,B,Nicholas,116,60,"   60"
1977,B,Raymond,109,61,"   61"
1977,B,Alistair,105,62,"   62"
1977,B,Bryan,103,63,"   63"
1977,B,Philip,102,64,"   64"
1977,B,Alastair,101,65,"   65"
1977,B,Malcolm,95,66,"   66"
1977,B,Alasdair,87,67,"   67"
1977,B,Russell,86,68,"   68"
1977,B,Patrick,82,69,"   69"
1977,B,Euan,81,70,"   70="
1977,B,Ewan,81,70,"   70="
1977,B,Gareth,79,72,"   72"
1977,B,Bruce,77,73,"   73"
1977,B,Adam,74,74,"   74"
1977,B,Gerard,73,75,"   75"
1977,B,Greig,68,76,"   76="
1977,B,Marc,68,76,"   76="
1977,B,Sean,67,78,"   78"
1977,B,Robin,66,79,"   79"
1977,B,Ronald,64,80,"   80"
1977,B,Benjamin,63,81,"   81"
1977,B,Francis,62,82,"   82"
1977,B,Gregor,60,83,"   83"
1977,B,Greg,55,84,"   84="
1977,B,Hugh,55,84,"   84="
1977,B,Calum,50,86,"   86="
1977,B,Shaun,50,86,"   86="
1977,B,Cameron,47,88,"   88"
1977,B,Roderick,45,89,"   89"
1977,B,Angus,41,90,"   90="
1977,B,Gerald,41,90,"   90="
1977,B,Rory,40,92,"   92="
1977,B,Samuel,40,92,"   92="
1977,B,Wayne,39,94,"   94"
1977,B,Murray,38,95,"   95"
1977,B,Norman,37,96,"   96="
1977,B,Timothy,37,96,"   96="
1977,B,Dean,36,98,"   98"
1977,B,Martyn,34,99,"   99"
1977,B,Roy,33,100,"  100="
1977,B,Wesley,33,100,"  100="
1978,B,David,1861,1,"    1"
1978,B,John,1374,2,"    2"
1978,B,Andrew,1182,3,"    3"
1978,B,Paul,1147,4,"    4"
1978,B,James,1067,5,"    5"
1978,B,Scott,906,6,"    6"
1978,B,Christopher,860,7,"    7"
1978,B,Steven,854,8,"    8"
1978,B,Michael,769,9,"    9"
1978,B,Mark,766,10,"   10"
1978,B,Robert,715,11,"   11"
1978,B,Craig,711,12,"   12"
1978,B,Kevin,678,13,"   13"
1978,B,Stuart,671,14,"   14"
1978,B,Alan,629,15,"   15"
1978,B,Stephen,619,16,"   16"
1978,B,William,576,17,"   17"
1978,B,Ross,514,18,"   18"
1978,B,Colin,475,19,"   19"
1978,B,Brian,462,20,"   20"
1978,B,Richard,461,21,"   21"
1978,B,Barry,456,22,"   22"
1978,B,Neil,446,23,"   23"
1978,B,Derek,433,24,"   24"
1978,B,Gordon,430,25,"   25"
1978,B,Thomas,417,26,"   26"
1978,B,Graeme,406,27,"   27"
1978,B,Martin,402,28,"   28"
1978,B,Peter,388,29,"   29"
1978,B,Gary,362,30,"   30"
1978,B,Iain,340,31,"   31"
1978,B,Graham,319,32,"   32"
1978,B,Ian,314,33,"   33"
1978,B,Kenneth,283,34,"   34"
1978,B,Alexander,278,35,"   35"
1978,B,Allan,272,36,"   36"
1978,B,Jamie,266,37,"   37"
1978,B,Gavin,255,38,"   38"
1978,B,Darren,226,39,"   39"
1978,B,George,222,40,"   40"
1978,B,Douglas,202,41,"   41"
1978,B,Simon,197,42,"   42"
1978,B,Stewart,190,43,"   43"
1978,B,Daniel,189,44,"   44"
1978,B,Keith,183,45,"   45"
1978,B,Lee,179,46,"   46"
1978,B,Ryan,177,47,"   47"
1978,B,Joseph,172,48,"   48"
1978,B,Matthew,156,49,"   49"
1978,B,Grant,151,50,"   50"
1978,B,Anthony,139,51,"   51="
1978,B,Jason,139,51,"   51="
1978,B,Jonathan,136,53,"   53"
1978,B,Duncan,127,54,"   54"
1978,B,Fraser,125,55,"   55"
1978,B,Donald,123,56,"   56"
1978,B,Garry,121,57,"   57"
1978,B,Nicholas,116,58,"   58"
1978,B,Alistair,115,59,"   59"
1978,B,Bryan,114,60,"   60="
1978,B,Charles,114,60,"   60="
1978,B,Raymond,110,62,"   62"
1978,B,Philip,106,63,"   63"
1978,B,Marc,100,64,"   64"
1978,B,Euan,96,65,"   65"
1978,B,Edward,95,66,"   66="
1978,B,Gareth,95,66,"   66="
1978,B,Sean,93,68,"   68"
1978,B,Adam,92,69,"   69="
1978,B,Alasdair,92,69,"   69="
1978,B,Alastair,91,71,"   71"
1978,B,Greig,87,72,"   72="
1978,B,Ronald,87,72,"   72="
1978,B,Malcolm,86,74,"   74"
1978,B,Patrick,84,75,"   75"
1978,B,Ewan,78,76,"   76"
1978,B,Russell,76,77,"   77"
1978,B,Greg,70,78,"   78"
1978,B,Gregor,66,79,"   79="
1978,B,Robin,66,79,"   79="
1978,B,Benjamin,65,81,"   81="
1978,B,Bruce,65,81,"   81="
1978,B,Gerard,64,83,"   83"
1978,B,Francis,61,84,"   84"
1978,B,Hugh,56,85,"   85"
1978,B,Calum,55,86,"   86"
1978,B,Cameron,52,87,"   87"
1978,B,Shaun,48,88,"   88="
1978,B,Wayne,48,88,"   88="
1978,B,Samuel,46,90,"   90"
1978,B,Murray,44,91,"   91="
1978,B,Roderick,44,91,"   91="
1978,B,Barrie,43,93,"   93"
1978,B,Callum,41,94,"   94"
1978,B,Angus,39,95,"   95="
1978,B,Liam,39,95,"   95="
1978,B,Rory,39,95,"   95="
1978,B,Niall,38,98,"   98"
1978,B,Timothy,37,99,"   99"
1978,B,Antony,36,100,"  100"
1979,B,David,2024,1,"    1"
1979,B,John,1470,2,"    2"
1979,B,Andrew,1327,3,"    3"
1979,B,Paul,1149,4,"    4"
1979,B,James,1108,5,"    5"
1979,B,Christopher,978,6,"    6"
1979,B,Steven,937,7,"    7"
1979,B,Scott,875,8,"    8"
1979,B,Mark,825,9,"    9"
1979,B,Robert,803,10,"   10"
1979,B,Craig,784,11,"   11"
1979,B,Kevin,773,12,"   12"
1979,B,Michael,722,13,"   13"
1979,B,Stuart,721,14,"   14"
1979,B,Stephen,676,15,"   15"
1979,B,Alan,668,16,"   16"
1979,B,Colin,583,17,"   17"
1979,B,William,560,18,"   18"
1979,B,Brian,521,19,"   19"
1979,B,Barry,502,20,"   20="
1979,B,Ross,502,20,"   20="
1979,B,Gary,492,22,"   22"
1979,B,Martin,488,23,"   23"
1979,B,Thomas,467,24,"   24"
1979,B,Richard,448,25,"   25"
1979,B,Graeme,437,26,"   26"
1979,B,Neil,434,27,"   27"
1979,B,Peter,395,28,"   28"
1979,B,Iain,392,29,"   29"
1979,B,Gordon,379,30,"   30"
1979,B,Derek,367,31,"   31="
1979,B,Ian,367,31,"   31="
1979,B,Alexander,355,33,"   33"
1979,B,Kenneth,325,34,"   34"
1979,B,Graham,308,35,"   35"
1979,B,Allan,273,36,"   36"
1979,B,Darren,272,37,"   37"
1979,B,Gavin,262,38,"   38"
1979,B,Jamie,260,39,"   39"
1979,B,Douglas,248,40,"   40"
1979,B,Ryan,242,41,"   41"
1979,B,Simon,239,42,"   42"
1979,B,George,215,43,"   43"
1979,B,Matthew,211,44,"   44"
1979,B,Lee,200,45,"   45"
1979,B,Stewart,192,46,"   46"
1979,B,Keith,187,47,"   47"
1979,B,Daniel,185,48,"   48"
1979,B,Anthony,181,49,"   49"
1979,B,Grant,178,50,"   50"
1979,B,Gareth,177,51,"   51"
1979,B,Jonathan,173,52,"   52"
1979,B,Joseph,157,53,"   53"
1979,B,Alistair,143,54,"   54"
1979,B,Charles,135,55,"   55"
1979,B,Edward,132,56,"   56"
1979,B,Fraser,127,57,"   57"
1979,B,Duncan,124,58,"   58"
1979,B,Garry,123,59,"   59"
1979,B,Bryan,122,60,"   60="
1979,B,Ewan,122,60,"   60="
