yr,sex,FirstForename,number,rank,position
1974,G,Nicola,935,1,"    1"
1974,G,Karen,825,2,"    2"
1974,G,Fiona,793,3,"    3"
1974,G,Susan,763,4,"    4"
1974,G,Claire,727,5,"    5"
1974,G,Sharon,720,6,"    6"
1974,G,Angela,660,7,"    7"
1974,G,Gillian,577,8,"    8"
1974,G,Julie,576,9,"    9"
1974,G,Michelle,531,10,"   10"
1974,G,Jacqueline,505,11,"   11"
1974,G,Amanda,502,12,"   12"
1974,G,Tracy,498,13,"   13"
1974,G,Louise,491,14,"   14"
1974,G,Jennifer,470,15,"   15"
1974,G,Alison,453,16,"   16"
1974,G,Sarah,402,17,"   17"
1974,G,Donna,398,18,"   18"
1974,G,Caroline,396,19,"   19"
1974,G,Elaine,390,20,"   20"
1974,G,Lynn,376,21,"   21"
1974,G,Margaret,375,22,"   22"
1974,G,Elizabeth,346,23,"   23"
1974,G,Lesley,341,24,"   24"
1974,G,Deborah,340,25,"   25"
1974,G,Pauline,338,26,"   26"
1974,G,Lorraine,336,27,"   27"
1974,G,Laura,335,28,"   28"
1974,G,Lisa,334,29,"   29="
1974,G,Tracey,334,29,"   29="
1974,G,Carol,319,31,"   31"
1974,G,Linda,316,32,"   32"
1974,G,Lorna,314,33,"   33"
1974,G,Catherine,298,34,"   34"
1974,G,Wendy,290,35,"   35"
1974,G,Lynne,284,36,"   36="
1974,G,Yvonne,284,36,"   36="
1974,G,Pamela,282,38,"   38"
1974,G,Kirsty,281,39,"   39"
1974,G,Jane,274,40,"   40"
1974,G,Emma,264,41,"   41"
1974,G,Joanne,262,42,"   42"
1974,G,Heather,253,43,"   43="
1974,G,Suzanne,253,43,"   43="
1974,G,Anne,238,45,"   45"
1974,G,Diane,229,46,"   46"
1974,G,Helen,219,47,"   47"
1974,G,Victoria,215,48,"   48"
1974,G,Dawn,210,49,"   49"
1974,G,Mary,200,50,"   50="
1974,G,Samantha,200,50,"   50="
1974,G,Marie,190,52,"   52"
1974,G,Kerry,187,53,"   53"
1974,G,Ann,180,54,"   54"
1974,G,Hazel,178,55,"   55"
1974,G,Christine,175,56,"   56"
1974,G,Gail,169,57,"   57"
1974,G,Andrea,158,58,"   58"
1974,G,Clare,157,59,"   59"
1974,G,Sandra,150,60,"   60"
1974,G,Shona,148,61,"   61"
1974,G,Kathleen,143,62,"   62"
1974,G,Paula,137,63,"   63"
1974,G,Shirley,135,64,"   64"
1974,G,Denise,128,65,"   65"
1974,G,Melanie,126,66,"   66"
1974,G,Patricia,123,67,"   67"
1974,G,Audrey,119,68,"   68="
1974,G,Ruth,119,68,"   68="
1974,G,Jill,114,70,"   70"
1974,G,Lee,109,71,"   71="
1974,G,Leigh,109,71,"   71="
1974,G,Catriona,107,73,"   73"
1974,G,Rachel,106,74,"   74"
1974,G,Morag,102,75,"   75"
1974,G,Kirsten,98,76,"   76"
1974,G,Kirsteen,97,77,"   77"
1974,G,Katrina,96,78,"   78"
1974,G,Joanna,94,79,"   79"
1974,G,Lynsey,92,80,"   80"
1974,G,Cheryl,91,81,"   81="
1974,G,Debbie,91,81,"   81="
1974,G,Maureen,90,83,"   83"
1974,G,Janet,88,84,"   84"
1974,G,Aileen,87,85,"   85="
1974,G,Arlene,87,85,"   85="
1974,G,Zoe,87,85,"   85="
1974,G,Lindsay,86,88,"   88"
1974,G,Stephanie,84,89,"   89"
1974,G,Judith,82,90,"   90"
1974,G,Mandy,79,91,"   91"
1974,G,Jillian,78,92,"   92="
1974,G,Mhairi,78,92,"   92="
1974,G,Barbara,75,94,"   94="
1974,G,Carolyn,75,94,"   94="
1974,G,Gayle,74,96,"   96="
1974,G,Maria,74,96,"   96="
1974,G,Valerie,74,96,"   96="
1974,G,Christina,73,99,"   99="
1974,G,Marion,73,99,"   99="
1975,G,Nicola,907,1,"    1"
1975,G,Karen,826,2,"    2"
1975,G,Susan,676,3,"    3"
1975,G,Claire,664,4,"    4"
1975,G,Fiona,645,5,"    5"
1975,G,Angela,635,6,"    6"
1975,G,Sharon,628,7,"    7"
1975,G,Gillian,562,8,"    8"
1975,G,Julie,546,9,"    9"
1975,G,Jennifer,530,10,"   10"
1975,G,Michelle,503,11,"   11"
1975,G,Louise,493,12,"   12"
1975,G,Lisa,465,13,"   13"
1975,G,Amanda,457,14,"   14"
1975,G,Donna,453,15,"   15"
1975,G,Tracy,439,16,"   16"
1975,G,Alison,424,17,"   17"
1975,G,Elaine,423,18,"   18"
1975,G,Jacqueline,422,19,"   19"
1975,G,Sarah,415,20,"   20"
1975,G,Caroline,356,21,"   21"
1975,G,Elizabeth,352,22,"   22"
1975,G,Laura,350,23,"   23"
1975,G,Lynn,335,24,"   24"
1975,G,Deborah,330,25,"   25"
1975,G,Lesley,319,26,"   26="
1975,G,Margaret,319,26,"   26="
1975,G,Joanne,314,28,"   28"
1975,G,Pauline,306,29,"   29"
1975,G,Lorraine,298,30,"   30"
1975,G,Carol,296,31,"   31"
1975,G,Kirsty,292,32,"   32"
1975,G,Yvonne,280,33,"   33"
1975,G,Lorna,271,34,"   34"
1975,G,Emma,269,35,"   35="
1975,G,Lynne,269,35,"   35="
1975,G,Tracey,265,37,"   37"
1975,G,Heather,262,38,"   38"
1975,G,Catherine,259,39,"   39="
1975,G,Pamela,259,39,"   39="
1975,G,Helen,255,41,"   41"
1975,G,Linda,244,42,"   42"
1975,G,Jane,240,43,"   43"
1975,G,Anne,239,44,"   44="
1975,G,Kerry,239,44,"   44="
1975,G,Suzanne,236,46,"   46"
1975,G,Wendy,225,47,"   47"
1975,G,Victoria,217,48,"   48"
1975,G,Diane,212,49,"   49"
1975,G,Mary,193,50,"   50"
1975,G,Dawn,192,51,"   51"
1975,G,Clare,185,52,"   52"
1975,G,Gail,180,53,"   53"
1975,G,Paula,170,54,"   54"
1975,G,Ann,167,55,"   55="
1975,G,Shona,167,55,"   55="
1975,G,Hazel,155,57,"   57"
1975,G,Christine,153,58,"   58"
1975,G,Andrea,149,59,"   59"
1975,G,Samantha,148,60,"   60"
1975,G,Marie,145,61,"   61"
1975,G,Lynsey,144,62,"   62"
1975,G,Sandra,133,63,"   63"
1975,G,Denise,132,64,"   64"
1975,G,Lee,130,65,"   65"
1975,G,Kelly,121,66,"   66"
1975,G,Gayle,118,67,"   67"
1975,G,Debbie,116,68,"   68"
1975,G,Jill,112,69,"   69"
1975,G,Kathleen,108,70,"   70"
1975,G,Patricia,106,71,"   71"
1975,G,Joanna,103,72,"   72"
1975,G,Catriona,101,73,"   73="
1975,G,Shirley,101,73,"   73="
1975,G,Ruth,98,75,"   75="
1975,G,Zoe,98,75,"   75="
1975,G,Leigh,97,77,"   77="
1975,G,Rachel,97,77,"   77="
1975,G,Melanie,93,79,"   79"
1975,G,Kirsteen,88,80,"   80"
1975,G,Aileen,87,81,"   81"
1975,G,Christina,83,82,"   82="
1975,G,Janet,83,82,"   82="
1975,G,Katrina,83,82,"   82="
1975,G,Stephanie,82,85,"   85"
1975,G,Audrey,81,86,"   86="
1975,G,Kirsten,81,86,"   86="
1975,G,Arlene,79,88,"   88="
1975,G,Maureen,79,88,"   88="
1975,G,Morag,79,88,"   88="
1975,G,Marion,76,91,"   91="
1975,G,Mhairi,76,91,"   91="
1975,G,Allison,73,93,"   93"
1975,G,Cheryl,72,94,"   94="
1975,G,Maria,72,94,"   94="
1975,G,Kim,70,96,"   96"
1975,G,Anna,69,97,"   97="
1975,G,Lindsay,69,97,"   97="
1975,G,Rebecca,69,97,"   97="
1975,G,Katherine,68,100,"  100="
1975,G,Mandy,68,100,"  100="
1976,G,Nicola,839,1,"    1"
1976,G,Karen,767,2,"    2"
1976,G,Claire,759,3,"    3"
1976,G,Angela,672,4,"    4"
1976,G,Fiona,664,5,"    5"
1976,G,Susan,551,6,"    6"
1976,G,Jennifer,540,7,"    7"
1976,G,Julie,538,8,"    8"
1976,G,Gillian,524,9,"    9"
1976,G,Michelle,494,10,"   10"
1976,G,Sharon,486,11,"   11"
1976,G,Sarah,477,12,"   12"
1976,G,Louise,458,13,"   13"
1976,G,Donna,454,14,"   14"
1976,G,Laura,445,15,"   15"
1976,G,Amanda,376,16,"   16"
1976,G,Alison,366,17,"   17="
1976,G,Lisa,366,17,"   17="
1976,G,Caroline,358,19,"   19"
1976,G,Kirsty,347,20,"   20"
1976,G,Jacqueline,344,21,"   21"
1976,G,Elaine,343,22,"   22"
1976,G,Lesley,323,23,"   23"
1976,G,Lynn,321,24,"   24"
1976,G,Deborah,319,25,"   25"
1976,G,Elizabeth,316,26,"   26"
1976,G,Joanne,311,27,"   27"
1976,G,Emma,301,28,"   28"
1976,G,Tracy,283,29,"   29"
1976,G,Lorraine,275,30,"   30"
1976,G,Lynne,264,31,"   31="
1976,G,Margaret,264,31,"   31="
1976,G,Heather,262,33,"   33"
1976,G,Carol,252,34,"   34"
1976,G,Lorna,249,35,"   35"
1976,G,Pauline,242,36,"   36"
1976,G,Kelly,240,37,"   37"
1976,G,Helen,238,38,"   38"
1976,G,Catherine,232,39,"   39"
1976,G,Linda,221,40,"   40"
1976,G,Victoria,219,41,"   41"
1976,G,Suzanne,217,42,"   42"
1976,G,Kerry,216,43,"   43"
1976,G,Pamela,210,44,"   44"
1976,G,Lee,209,45,"   45"
1976,G,Wendy,204,46,"   46"
1976,G,Jane,201,47,"   47"
1976,G,Yvonne,193,48,"   48"
1976,G,Tracey,187,49,"   49"
1976,G,Anne,185,50,"   50"
1976,G,Clare,171,51,"   51"
1976,G,Mary,163,52,"   52"
1976,G,Diane,162,53,"   53"
1976,G,Christine,156,54,"   54"
1976,G,Lynsey,153,55,"   55"
1976,G,Samantha,150,56,"   56"
1976,G,Shona,149,57,"   57"
1976,G,Andrea,147,58,"   58"
1976,G,Marie,145,59,"   59"
1976,G,Gail,136,60,"   60"
1976,G,Melanie,135,61,"   61"
1976,G,Dawn,128,62,"   62"
1976,G,Ann,127,63,"   63"
1976,G,Paula,122,64,"   64"
1976,G,Jill,119,65,"   65="
1976,G,Ruth,119,65,"   65="
1976,G,Leigh,118,67,"   67"
1976,G,Hazel,117,68,"   68"
1976,G,Debbie,110,69,"   69"
1976,G,Joanna,109,70,"   70"
1976,G,Denise,108,71,"   71"
1976,G,Lindsay,106,72,"   72"
1976,G,Gayle,104,73,"   73="
1976,G,Patricia,104,73,"   73="
1976,G,Catriona,99,75,"   75"
1976,G,Kathleen,96,76,"   76"
1976,G,Sandra,92,77,"   77"
1976,G,Leanne,91,78,"   78="
1976,G,Stephanie,91,78,"   78="
1976,G,Rachel,88,80,"   80"
1976,G,Katrina,85,81,"   81="
1976,G,Shirley,85,81,"   81="
1976,G,Kirsteen,82,83,"   83"
1976,G,Janet,81,84,"   84"
1976,G,Arlene,80,85,"   85="
1976,G,Zoe,80,85,"   85="
1976,G,Jillian,79,87,"   87"
1976,G,Anna,74,88,"   88="
1976,G,Judith,74,88,"   88="
1976,G,Mhairi,74,88,"   88="
1976,G,Natalie,74,88,"   88="
1976,G,Audrey,72,92,"   92"
1976,G,Carolyn,71,93,"   93="
1976,G,Morag,71,93,"   93="
1976,G,Aileen,70,95,"   95"
1976,G,Cheryl,69,96,"   96="
1976,G,Rebecca,69,96,"   96="
1976,G,Allison,68,98,"   98"
1976,G,Barbara,66,99,"   99"
1976,G,Mandy,65,100,"  100"
1977,G,Claire,733,1,"    1"
1977,G,Nicola,689,2,"    2"
1977,G,Karen,663,3,"    3"
1977,G,Angela,643,4,"    4"
1977,G,Gillian,590,5,"    5"
1977,G,Fiona,582,6,"    6"
1977,G,Jennifer,552,7,"    7"
1977,G,Laura,526,8,"    8"
1977,G,Susan,518,9,"    9"
1977,G,Julie,502,10,"   10"
1977,G,Michelle,478,11,"   11"
1977,G,Lisa,460,12,"   12"
1977,G,Sharon,444,13,"   13"
1977,G,Louise,442,14,"   14"
1977,G,Sarah,435,15,"   15"
1977,G,Tracy,416,16,"   16"
1977,G,Donna,411,17,"   17"
1977,G,Kelly,397,18,"   18"
1977,G,Kirsty,369,19,"   19"
1977,G,Amanda,336,20,"   20"
1977,G,Alison,333,21,"   21"
1977,G,Joanne,313,22,"   22"
1977,G,Caroline,307,23,"   23"
1977,G,Emma,302,24,"   24"
1977,G,Jacqueline,298,25,"   25"
1977,G,Elaine,281,26,"   26"
1977,G,Elizabeth,279,27,"   27"
1977,G,Lynne,275,28,"   28"
1977,G,Lesley,271,29,"   29"
1977,G,Deborah,269,30,"   30"
1977,G,Kerry,256,31,"   31="
1977,G,Victoria,256,31,"   31="
1977,G,Carol,252,33,"   33"
1977,G,Catherine,242,34,"   34="
1977,G,Lynn,242,34,"   34="
1977,G,Pauline,222,36,"   36"
1977,G,Margaret,221,37,"   37"
1977,G,Lorna,208,38,"   38"
1977,G,Lynsey,206,39,"   39"
1977,G,Lorraine,201,40,"   40"
1977,G,Linda,199,41,"   41="
1977,G,Suzanne,199,41,"   41="
1977,G,Tracey,199,41,"   41="
1977,G,Heather,193,44,"   44"
1977,G,Yvonne,188,45,"   45"
1977,G,Jane,180,46,"   46"
1977,G,Dawn,171,47,"   47="
