"Phrase","Count"
"In this series",37
"this series of",36
"series of short",26
"of short videos",26
"short videos, we",15
"we will look",57
"will look at",50
"look at topics",25
"at topics for",4
"topics for the",4
"for the Power",5
"the Power Basic",25
"Power Basic console",7
"Basic console compiler",1
"Today we will",36
"will look again",7
"look again at",8
"again at commands",1
"at commands for",2
"commands for the",2
"for the console",4
"This was our",4
"was our application",3
"our application at",3
"application at the",3
"at the end",35
"the end of",49
"end of the",36
"of the last",6
"the last video",8
"We have created",11
"have created a",7
"created a console",1
"a console application",3
"console application which",2
"application which displays",1
"which displays information",1
"displays information to",1
"information to the",4
"to the user",48
"the user on",3
"user on the",1
"on the console",7
"the console screen",2
"As you will",21
"you will see",34
"will see from",4
"see from the",8
"from the start",2
"the start of",5
"start of the",3
"of the code",15
"the code, we",4
"we have two",12
"have two lines",2
"two lines of",8
"lines of code",13
"of code at",1
"code at the",1
"at the beginning",56
"the beginning which",1
"beginning which define",1
"which define two",1
"define two constants",1
"two constants, one",2
"one for rows",2
"for rows and",3
"rows and one",2
"and one for",18
"one for columns",2
"In the pb_main()",1
"the pb_main() function",1
"pb_main() function, we",1
"we make a",1
"make a call",6
"a call to",11
"call to a",4
"to a prep",1
"a prep screen",1
"prep screen function",1
"This one here",4
"This prepares our",1
"prepares our console",1
"our console for",1
"console for use",1
"will see in",8
"see in here",4
"in here, we",2
"we have a",55
"have a command",2
"a command which",1
"command which sets",1
"which sets the",1
"sets the size",1
"the size of",16
"size of the",9
"of the screen",7
"the screen using",2
"screen using the",1
"using the con",3
"the con virtual",1
"con virtual command",1
"So currently we're",1
"currently we're set",1
"we're set for",1
"set for 25",1
"for 25 rows",1
"25 rows and",2
"rows and 80",2
"and 80 columns",2
"80 columns, which",1
"which is the",33
"is the standard",1
"the standard console",1
"standard console size",1
"The first thing",8
"first thing we're",1
"thing we're going",2
"we're going to",346
"going to do",19
"to do today",4
"do today is",3
"today is to",2
"is to increase",1
"to increase the",1
"increase the size",1
"size of our",4
"of our console",2
"our console, to",1
"to go up",2
"go up to",3
"up to 50",1
"to 50 rows",1
"50 rows and",1
"rows and 100",1
"and 100 columns",1
"If we run",55
"we run the",28
"run the application",23
"the application now",28
"application now without",1
"now without any",1
"without any further",1
"any further changes",1
"further changes, we",1
"we will see",56
"will see it",8
"see it displays",2
"it displays quite",1
"displays quite happily",1
"quite happily, but",2
"but you will",1
"you will also",2
"will also see",2
"also see we",1
"see we now",5
"we now have",30
"now have horizontal",1
"have horizontal and",1
"horizontal and vertical",1
"and vertical scroll",1
"vertical scroll bars",1
"scroll bars, which",1
"which allow us",1
"allow us to",23
"us to move",1
"to move up",1
"move up, and",1
"and down, and",1
"and left and",2
"left and right",3
"and right on",2
"right on the",2
"This allows you",12
"allows you to",15
"you to set",4
"to set a",6
"set a console",1
"a console up",1
"console up that",1
"up that better",1
"that better suits",1
"better suits your",1
"suits your application",1
"your application, giving",1
"giving you more",1
"you more flexibility",1
"more flexibility for",2
"flexibility for what",1
"for what you",1
"what you can",6
"you can use",18
"can use the",27
"use the console",2
"the console compiler",26
"console compiler for",1
"The next thing",4
"next thing we're",1
"going to change",5
"to change today",1
"change today is",1
"today is the",4
"is the section",2
"the section of",2
"section of code",6
"of code that",5
"code that displays",1
"that displays information",1
"displays information on",1
"information on the",8
"on the screen",43
"the screen to",8
"screen to the",4
"We have this",3
"have this at",1
"this at the",5
"at the moment",22
"the moment inside",1
"moment inside a",1
"inside a Do",1
"a Do loop",2
"going to take",8
"to take this",2
"take this section",1
"this section of",6
"of code and",2
"code and move",1
"and move it",2
"move it into",1
"it into its",1
"into its own",3
"its own function",2
"own function, and",1
"and we're going",45
"going to call",20
"to call that",3
"call that function",5
"that function display",1
"function display screen",1
"Having these lines",1
"these lines of",2
"of code in",11
"code in its",1
"in its own",1
"own function will",1
"function will make",1
"will make our",1
"make our PB",1
"our PB main",2
"PB main function",2
"main function much",1
"function much tidier",1
"And here is",4
"here is the",19
"is the new",1
"the new function",5
"new function with",2
"function with the",2
"with the code",2
"the code just",1
"code just pasted",1
"just pasted in",1
"we clear our",1
"clear our console",1
"our console screen",2
"console screen, we",1
"we display the",6
"display the headers",1
"the headers, and",2
"and we jump",1
"we jump into",1
"jump into the",1
"into the Do",1
"the Do loop",1
"Do loop to",1
"loop to display",2
"to display the",5
"display the data",2
"the data on",3
"data on screen",1
"application now, we",7
"see it behaves",1
"it behaves exactly",1
"behaves exactly as",1
"exactly as it",1
"as it did",1
"it did before",1
"It runs through",1
"runs through the",1
"through the loop",1
"the loop, and",1
"and at the",9
"of the loop",2
"the loop, it",1
"it will terminate",2
"will terminate the",1
"terminate the application",3
"Since we have",3
"we have removed",1
"have removed that",1
"removed that code",1
"that code from",1
"code from our",1
"from our PB",1
"main function, there",1
"there are some",5
"are some declares",1
"some declares at",1
"declares at the",1
"the beginning of",59
"beginning of the",24
"of the function",5
"the function that",1
"function that we",1
"that we no",1
"we no longer",1
"no longer need",2
"longer need, so",1
"so we will",34
"we will just",3
"will just take",1
"just take those",1
"take those out",1
"going to make",18
"to make use",9
"make use of",12
"use of one",3
"of one of",3
"one of the",33
"of the features",1
"the features of",1
"features of the",1
"of the console",9
"the console within",1
"console within Power",1
"within Power Basic",7
"Power Basic, you",1
"you have not",2
"have not one",1
"not one, but",1
"but eight consoles",1
"eight consoles available",1
"consoles available, and",1
"and we can",58
"we can switch",1
"can switch quite",1
"switch quite easily",1
"quite easily between",2
"easily between each",2
"between each console",1
"Only one console",1
"one console can",1
"console can display",1
"can display to",1
"display to the",2
"user on screen",2
"on screen at",4
"screen at any",2
"at any one",1
"any one time",1
"one time, but",1
"but having these",1
"having these eight",1
"these eight separate",1
"eight separate consoles",1
"separate consoles gives",1
"consoles gives us",1
"gives us a",3
"us a great",1
"a great deal",25
"great deal of",20
"deal of flexibility",8
"of flexibility for",2
"flexibility for how",1
"for how our",1
"how our application",1
"our application operates",1
"In the display",1
"the display screen",1
"display screen section",1
"screen section, there's",1
"there's a call",1
"to a underlying",1
"a underlying function",1
"underlying function called",1
"function called display",1
"called display headers",1
"This displays basically",1
"displays basically a",1
"basically a template",1
"a template on",2
"template on screen",1
"on screen, which",1
"which we can",8
"we can use",39
"can use later",1
"use later on",1
